dataset_id,title
Gleser,"Example data from Gleser, Cronbach and Rajaratnam (1965) to show basic principles of generalizability theory."
Gorsuch,Example data set from Gorsuch (1997) for an example factor extension.
Harman.5,5 socio-economic variables from Harman (1967)
Harman.8,"Correlations of eight physical variables (from Harman, 1966)"
Harman.political,Eight political variables used by Harman (1967) as example 8.17
Holzinger,Seven data sets showing a bifactor solution.
Holzinger.9,Seven data sets showing a bifactor solution.
Reise,Seven data sets showing a bifactor solution.
Schmid,12 variables created by Schmid and Leiman to show the Schmid-Leiman Transformation
Thurstone,Seven data sets showing a bifactor solution.
Thurstone.33,Seven data sets showing a bifactor solution.
Tucker,9 Cognitive variables discussed by Tucker and Lewis (1973)
ability,16 ability items scored as correct or incorrect.
affect,Two data sets of affect and arousal scores as a function of personality and movie conditions
bfi,25 Personality items representing 5 factors
bfi.dictionary,25 Personality items representing 5 factors
blot,Bond's Logical Operations Test - BLOT
burt,11 emotional variables from Burt (1915)
cities,Distances between 11 US cities
cubits,Galton's example of the relationship between height and 'cubit' or forearm length
cushny,"A data set from Cushny and Peebles (1905) on the effect of three drugs on hours of sleep, used by Student (1908)"
epi,Eysenck Personality Inventory (EPI) data for 3570 participants
epi.bfi,13 personality scales from the Eysenck Personality Inventory and Big 5 inventory
epi.dictionary,Eysenck Personality Inventory (EPI) data for 3570 participants
galton,Galton's Mid parent child height data
heights,A data.frame of the Galton (1888) height and cubit data set.
income,US family income from US census 2008
iqitems,16 multiple choice IQ items
msq,75 mood items from the Motivational State Questionnaire for 3896 participants
neo,NEO correlation matrix from the NEO_PI_R manual
peas,Galton's Peas
sat.act,"3 Measures of ability: SATV, SATQ, ACT"
withinBetween,An example of the distinction between within group and between group correlations
Bosco,Boscovich Data
CobarOre,Cobar Ore data
Mammals,Garland(1983) Data on Running Speed of Mammals
barro,Barro Data
engel,Engel Data
uis,UIS Drug Treatment study data
dietox,Growth curves of pigs in a 3x3 factorial experiment
koch,Ordinal Data from Koch
ohio,Ohio Children Wheeze Status
respdis,Clustered Ordinal Respiratory Disorder
respiratory,Data from a clinical trial comparing two treatments for a respiratory illness
seizure,Epiliptic Seizures
sitka89,Growth of Sitka Spruce Trees
spruce,Log-size of 79 Sitka spruce trees
liver,Liver related laboratory data
portpirie,"Rain, wavesurge and portpirie datasets."
rain,"Rain, wavesurge and portpirie datasets."
summer,"Air pollution data, separately for summer and winter months"
wavesurge,"Rain, wavesurge and portpirie datasets."
winter,"Air pollution data, separately for summer and winter months"
arthritis,Rheumatoid Arthritis Clinical Trial
housing,Homeless Data
bmw,Daily Log Returns on BMW Share Price
danish,Danish Fire Insurance Claims
nidd.annual,The River Nidd Data
nidd.thresh,The River Nidd Data
siemens,Daily Log Returns on Siemens Share Price
sp.raw,SP Data to June 1993
spto87,SP Return Data to October 1987
Dyestuff,Yield of dyestuff by batch
Dyestuff2,Yield of dyestuff by batch
InstEval,University Lecture/Instructor Evaluations by Students at ETH
Pastes,Paste strength by batch and cask
Penicillin,Variation in penicillin testing
VerbAgg,Verbal Aggression item responses
cake,Breakage Angle of Chocolate Cakes
cbpp,Contagious bovine pleuropneumonia
grouseticks,Data on red grouse ticks from Elston et al. 2001
sleepstudy,Reaction times in a sleep deprivation study
